%DPR
%Session_02
%Ratio Scaling Width
0.220 1.000 0.500
0.510 1.000 1.000
0.770 1.500 0.500
0.220 1.500 1.000
0.470 1.000 0.500
0.270 4.000 0.500
0.270 1.000 1.000
0.170 1.000 1.000
0.810 1.500 1.000
0.690 1.500 1.000
0.720 4.000 1.000
0.690 4.000 1.000
0.170 1.500 0.500
0.470 1.500 1.000
0.050 4.000 1.000
0.910 1.500 0.500
0.910 4.000 1.000
0.810 4.000 0.500
0.720 1.000 0.500
0.270 1.500 0.500
0.690 1.000 0.500
0.810 1.000 0.500
0.050 1.000 1.000
0.770 4.000 1.000
0.770 1.000 1.000
0.720 1.500 1.000
0.510 1.500 0.500
0.910 1.000 0.500
0.590 1.000 1.000
0.050 1.500 1.000
0.220 4.000 0.500
0.590 1.500 0.500
0.590 4.000 0.500
0.170 4.000 1.000
0.470 4.000 0.500
0.510 4.000 0.500
