%DPR
%Session_Prueba
%Ratio_Num Ratio_Area Scaling Width
0.050 0.250 1.000 1.000
0.125 0.375 1.000 1.000
0.250 0.050 1.000 1.000
0.375 0.125 1.000 1.000
0.625 0.875 1.000 1.000
0.750 0.950 1.000 1.000
0.875 0.625 1.000 1.000
0.950 0.750 1.000 1.000
0.490 0.240 1.000 1.000
0.510 0.760 1.000 1.000
0.240 0.490 1.000 1.000
0.760 0.510 1.000 1.000
0.050 0.250 2.000 1.000
0.125 0.375 2.000 1.000
0.250 0.050 2.000 1.000
0.375 0.125 2.000 1.000
0.625 0.875 2.000 1.000
0.750 0.950 2.000 1.000
0.875 0.625 2.000 1.000
0.950 0.750 2.000 1.000
0.490 0.240 2.000 1.000
0.510 0.760 2.000 1.000
0.240 0.490 2.000 1.000
0.760 0.510 2.000 1.000
0.050 0.250 3.000 1.000
0.125 0.375 3.000 1.000
0.250 0.050 3.000 1.000
0.375 0.125 3.000 1.000
0.625 0.875 3.000 1.000
0.750 0.950 3.000 1.000
0.875 0.625 3.000 1.000
0.950 0.750 3.000 1.000
0.490 0.240 3.000 1.000
0.510 0.760 3.000 1.000
0.240 0.490 3.000 1.000
0.760 0.510 3.000 1.000
